timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707550729838,312,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Load Thread Group 2-4,,true,,1116,1829,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,312,0,0
1707550730152,38,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Load Thread Group 2-4,text,true,,1935,1253,4,9,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,38,0,0
1707550729870,321,"home/.well-known/shopify/monorail/unstable/produce_batch-2,680",200,OK,Stress Thread Group 3-2,,true,,1118,3289,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,321,0,0
1707550729851,342,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Stress Thread Group 3-4,,true,,1118,1829,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,342,0,0
1707550730195,42,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Stress Thread Group 3-4,text,true,,1941,1253,4,9,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,42,0,0
1707550729909,338,"home/.well-known/shopify/monorail/unstable/produce_batch-2,680",200,OK,Load Thread Group 2-2,,true,,1130,3289,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,338,0,0
1707550729945,348,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Load Thread Group 2-3,,true,,1124,2500,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,348,0,0
1707550729954,347,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Stress Thread Group 3-3,,true,,1126,2500,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,347,0,0
1707550730193,312,"home/cart.json-2,726",200,OK,Stress Thread Group 3-2,text,true,,2279,1260,4,9,https://supertails.com/cart.json,312,0,0
1707550730249,302,"home/cart.json-2,726",200,OK,Load Thread Group 2-2,text,true,,2284,1260,4,9,https://supertails.com/cart.json,302,0,0
1707550730192,394,"home/cart/update.js-2,625",200,OK,Load Thread Group 2-4,text,true,,3100,1410,4,9,https://supertails.com/cart/update.js,394,0,0
1707550730239,381,"home/cart/update.js-2,625",200,OK,Stress Thread Group 3-4,text,true,,3104,1410,4,9,https://supertails.com/cart/update.js,381,0,0
1707550730295,345,"home/.well-known/shopify/monorail/unstable/produce_batch-2,680",200,OK,Load Thread Group 2-3,,true,,1116,3289,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,345,0,0
1707550730302,341,"home/.well-known/shopify/monorail/unstable/produce_batch-2,680",200,OK,Stress Thread Group 3-3,,true,,1118,3289,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,341,0,0
1707550730508,345,"home/.well-known/shopify/monorail/v1/produce-2,728",200,OK,Stress Thread Group 3-2,,true,,1120,5768,4,9,https://supertails.com/.well-known/shopify/monorail/v1/produce,345,0,0
1707550730554,365,"home/.well-known/shopify/monorail/v1/produce-2,728",200,OK,Load Thread Group 2-2,,true,,1114,5768,4,9,https://supertails.com/.well-known/shopify/monorail/v1/produce,365,0,0
1707550730623,307,"home/cart-2,630",200,OK,Stress Thread Group 3-4,text,true,,4098,1300,4,9,https://supertails.com/cart?t=1707545490632&view=ajax,307,0,0
1707550730644,292,"home/cart.json-2,726",200,OK,Stress Thread Group 3-3,text,true,,2289,1260,4,9,https://supertails.com/cart.json,292,0,0
1707550730641,304,"home/cart.json-2,726",200,OK,Load Thread Group 2-3,text,true,,2283,1260,4,9,https://supertails.com/cart.json,304,0,0
1707550730932,366,"home/.well-known/shopify/monorail/unstable/produce_batch-2,637",200,OK,Stress Thread Group 3-4,,true,,1118,4754,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,366,0,0
1707550730946,354,"home/.well-known/shopify/monorail/v1/produce-2,728",200,OK,Load Thread Group 2-3,,true,,1112,5768,5,11,https://supertails.com/.well-known/shopify/monorail/v1/produce,354,0,0
1707550730938,366,"home/.well-known/shopify/monorail/v1/produce-2,728",200,OK,Stress Thread Group 3-3,,true,,1116,5768,5,11,https://supertails.com/.well-known/shopify/monorail/v1/produce,366,0,0
1707550730590,756,"home/cart-2,630",200,OK,Load Thread Group 2-4,text,true,,4096,1300,5,11,https://supertails.com/cart?t=1707545490632&view=ajax,756,0,0
1707550731251,364,"home/-2,601",200,OK,Load Thread Group 2-5,text,true,,170777,722,5,11,https://supertails.com/,301,0,99
1707550731299,354,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Stress Thread Group 3-4,,true,,1118,2292,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,354,0,0
1707550731349,326,"home/.well-known/shopify/monorail/unstable/produce_batch-2,637",200,OK,Load Thread Group 2-4,,true,,1122,4754,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,326,0,0
1707550731626,52,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Load Thread Group 2-5,text,true,,1481,1267,5,11,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,52,0,0
1707550731680,62,"home/checkouts/internal/preloads.js-2,615",200,OK,Load Thread Group 2-5,text,true,,1861,1289,5,11,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,62,0,0
1707550731263,473,"home/-2,601",200,OK,Stress Thread Group 3-5,text,true,,170598,722,5,11,https://supertails.com/,347,0,82
1707550731745,49,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Stress Thread Group 3-5,text,true,,1493,1267,5,11,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,49,0,0
1707550731794,54,"home/checkouts/internal/preloads.js-2,615",200,OK,Stress Thread Group 3-5,text,true,,1850,1289,5,11,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,54,0,0
1707550731654,334,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Stress Thread Group 3-4,,true,,1116,1640,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,334,0,0
1707550731676,314,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Load Thread Group 2-4,,true,,1122,2292,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,314,0,0
1707550731744,344,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Load Thread Group 2-5,,true,,1110,1829,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,344,0,0
1707550732088,46,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Load Thread Group 2-5,text,true,,1939,1253,5,11,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,46,0,0
1707550731849,347,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Stress Thread Group 3-5,,true,,1122,1829,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,347,0,0
1707550732198,50,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Stress Thread Group 3-5,text,true,,1939,1253,5,11,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,50,0,0
1707550731991,323,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Load Thread Group 2-4,,true,,1114,1640,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,323,0,0
1707550731990,335,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Stress Thread Group 3-4,,true,,1120,2500,5,11,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,335,0,0
1707550729166,3066,"search/collections/dog-products-2,746",200,OK,Load Thread Group 2-1,text,true,,282032,1429,5,11,https://supertails.com/collections/dog-products,2825,0,0
1707550729226,3054,"search/collections/dog-products-2,746",200,OK,Smoke Thread Group 1-1,text,true,,281811,1429,1,11,https://supertails.com/collections/dog-products,2542,0,0
1707550732347,46,"search/cdn/shop/t/462/compiled_assets/styles.css-2,757",200,OK,Load Thread Group 2-1,text,true,,1475,1317,5,11,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349331,46,0,0
1707550732362,53,"search/cdn/shop/t/462/compiled_assets/styles.css-2,757",200,OK,Smoke Thread Group 1-1,text,true,,1481,1317,1,11,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349331,53,0,0
1707550732393,64,"search/checkouts/internal/preloads.js-2,758",200,OK,Load Thread Group 2-1,text,true,,1854,1339,5,11,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,64,0,0
1707550732136,378,"home/cart/update.js-2,625",200,OK,Load Thread Group 2-5,text,true,,3102,1410,5,11,https://supertails.com/cart/update.js,378,0,0
1707550732459,58,"search/cdn/shop/t/462/compiled_assets/scripts.js-2,760",200,OK,Load Thread Group 2-1,text,true,,1933,1303,5,11,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349331,58,0,0
1707550732417,146,"search/checkouts/internal/preloads.js-2,758",200,OK,Smoke Thread Group 1-1,text,true,,1849,1339,1,11,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,146,0,0
1707550729181,3368,"search/collections/dog-products-2,746",200,OK,Stress Thread Group 3-1,text,true,,281542,1429,5,11,https://supertails.com/collections/dog-products,2664,0,0
